0,1,2
0012370-O1,5.1318,Ba1Mn1O2
0185027-O27,3.1514,Ba2Fe2O5
0185027-O42,3.9052,Ba2Fe2O5
0185027-O29,3.1434,Ba2Fe2O5
0185027-O68,2.8167,Ba2Fe2O5
0185027-O45,3.6207,Ba2Fe2O5
0185027-O41,3.8978,Ba2Fe2O5
0185027-O1,2.9418,Ba2Fe2O5
0185027-O30,3.1198,Ba2Fe2O5
0185027-O7,3.0174,Ba2Fe2O5
0185027-O4,3.3757,Ba2Fe2O5
0185027-O16,2.9076,Ba2Fe2O5
0185027-O62,3.456,Ba2Fe2O5
0185027-O32,3.6969,Ba2Fe2O5
0185027-O20,2.8587,Ba2Fe2O5
0185027-O2,2.8236,Ba2Fe2O5
0185027-O25,3.1349,Ba2Fe2O5
0185027-O48,3.5437,Ba2Fe2O5
0185027-O65,3.3624,Ba2Fe2O5
0185027-O51,3.1538,Ba2Fe2O5
0185027-O44,3.5205,Ba2Fe2O5
0185027-O40,3.8602,Ba2Fe2O5
0185027-O66,3.2594,Ba2Fe2O5
0185027-O5,3.4238,Ba2Fe2O5
0185027-O47,3.4671,Ba2Fe2O5
0185027-O33,3.6871,Ba2Fe2O5
0185027-O15,3.0437,Ba2Fe2O5
0185027-O8,2.9368,Ba2Fe2O5
0185027-O35,3.3392,Ba2Fe2O5
0185027-O69,2.8941,Ba2Fe2O5
0185027-O10,2.8887,Ba2Fe2O5
0185027-O18,2.8792,Ba2Fe2O5
0185027-O26,3.0935,Ba2Fe2O5
0185027-O67,2.9132,Ba2Fe2O5
0185027-O9,3.0007,Ba2Fe2O5
0185027-O57,3.346,Ba2Fe2O5
0185027-O52,3.448,Ba2Fe2O5
0185027-O31,3.7062,Ba2Fe2O5
0185027-O53,3.2867,Ba2Fe2O5
0185027-O60,3.6128,Ba2Fe2O5
0185027-O12,3.2679,Ba2Fe2O5
0185027-O13,3.3174,Ba2Fe2O5
0185027-O37,3.2645,Ba2Fe2O5
0185027-O50,3.5422,Ba2Fe2O5
0185027-O23,3.2754,Ba2Fe2O5
0185027-O17,2.9764,Ba2Fe2O5
0185027-O63,3.3509,Ba2Fe2O5
0185027-O34,3.6461,Ba2Fe2O5
0185027-O21,2.9288,Ba2Fe2O5
0185027-O56,3.4226,Ba2Fe2O5
0185027-O49,3.456,Ba2Fe2O5
0185027-O39,3.8752,Ba2Fe2O5
0185027-O61,3.5989,Ba2Fe2O5
0185027-O3,3.4347,Ba2Fe2O5
0185027-O6,3.196,Ba2Fe2O5
0185027-O14,3.1745,Ba2Fe2O5
0185027-O46,3.7287,Ba2Fe2O5
0185027-O58,3.3894,Ba2Fe2O5
0185027-O24,3.089,Ba2Fe2O5
0185027-O70,2.7269,Ba2Fe2O5
0185027-O11,3.3856,Ba2Fe2O5
0185027-O19,2.9353,Ba2Fe2O5
0185027-O38,3.2723,Ba2Fe2O5
0185027-O55,3.1687,Ba2Fe2O5
0185027-O59,3.3763,Ba2Fe2O5
0185027-O36,3.2114,Ba2Fe2O5
0185027-O22,2.8928,Ba2Fe2O5
0185027-O64,3.3174,Ba2Fe2O5
0185027-O28,3.1018,Ba2Fe2O5
0185027-O43,3.7097,Ba2Fe2O5
0185027-O54,3.3637,Ba2Fe2O5
0116531-O13,3.1182,Ba2Fe6O11
0116531-O4,3.4672,Ba2Fe6O11
0116531-O20,3.4512,Ba2Fe6O11
0116531-O7,3.5175,Ba2Fe6O11
0116531-O2,3.5308,Ba2Fe6O11
0116531-O5,3.2971,Ba2Fe6O11
0116531-O1,3.3653,Ba2Fe6O11
0116531-O18,3.3609,Ba2Fe6O11
0116531-O10,3.7312,Ba2Fe6O11
0116531-O12,3.5115,Ba2Fe6O11
0116531-O17,3.4571,Ba2Fe6O11
0116531-O9,3.658,Ba2Fe6O11
0116531-O8,3.2533,Ba2Fe6O11
0116531-O3,3.6066,Ba2Fe6O11
0116531-O6,3.4083,Ba2Fe6O11
0116531-O14,3.138,Ba2Fe6O11
0116531-O11,3.7633,Ba2Fe6O11
0116531-O19,3.4095,Ba2Fe6O11
0116531-O15,3.283,Ba2Fe6O11
0116531-O22,3.3964,Ba2Fe6O11
0116531-O21,3.5861,Ba2Fe6O11
0116531-O16,3.277,Ba2Fe6O11
0169441-O3,2.6558,Ba2Fe1O4
0169441-O2,2.4015,Ba2Fe1O4
0169441-O4,2.7749,Ba2Fe1O4
0169441-O1,2.2037,Ba2Fe1O4
0185205-O3,2.2623,Ba3Fe1O5
0185205-O2,2.8479,Ba3Fe1O5
0185205-O4,0.975,Ba3Fe1O5
0185205-O1,2.6054,Ba3Fe1O5
0167571-O28,3.5554,Ba1Fe12O19
0167571-O5,3.4677,Ba1Fe12O19
0167571-O2,3.1799,Ba1Fe12O19
0167571-O20,3.5007,Ba1Fe12O19
0167571-O16,3.4188,Ba1Fe12O19
0167571-O4,3.1821,Ba1Fe12O19
0167571-O7,3.14,Ba1Fe12O19
0167571-O1,3.1738,Ba1Fe12O19
0167571-O9,3.03,Ba1Fe12O19
0167571-O13,3.5548,Ba1Fe12O19
0167571-O12,3.2187,Ba1Fe12O19
0167571-O26,3.021,Ba1Fe12O19
0167571-O18,3.4508,Ba1Fe12O19
0167571-O10,2.7819,Ba1Fe12O19
0167571-O8,3.3734,Ba1Fe12O19
0167571-O15,3.5327,Ba1Fe12O19
0167571-O23,3.44,Ba1Fe12O19
0167571-O27,3.1379,Ba1Fe12O19
0167571-O25,3.1846,Ba1Fe12O19
0167571-O11,3.2083,Ba1Fe12O19
