index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre
60,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,24,3.96521736000012,2.9395782947540283
61,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,25,3.96521736000012,2.9395782947540283
62,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,26,3.96521736000012,2.9395782947540283
63,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,27,3.96521736000012,2.9395782947540283
64,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,28,3.96521736000012,2.939578056335449
65,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,29,3.96521736000012,2.9395782947540283
66,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,30,3.96521736000012,2.9395782947540283
67,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,31,3.96521736000012,2.9395782947540283
68,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,32,3.96521736000012,2.9395782947540283
69,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,33,3.96521736000012,2.9395782947540283
70,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,34,3.96521736000012,2.9395782947540283
71,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,35,3.96521736000012,2.9395782947540283
72,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,36,3.96521736000012,2.9395782947540283
73,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,37,3.96521736000012,2.9395782947540283
74,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,38,3.96521736000012,2.9395782947540283
75,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,39,3.96521736000012,2.9395782947540283
